	sex	job	blood_group	name	race	address	birthdate	current_location	ssn
495	M	Chief of Staff	O-	Michael Garner	Black	"187 Scott Curve
North Josephfurt, LA 32547"	1980-06-08	(Decimal('12.8654545'), Decimal('138.397840'))	730-99-7888
496	M	Environmental education officer	A+	Jacob Webb	Asian	"82386 Sims Circle
Ericside, CT 16365"	1972/06/06	(Decimal('79.7541585'), Decimal('-8.595812'))	697-34-8929
497	F	Investment banker, operational	AB+	Sheri Miller	White	"1186 Amber Lane Suite 112
Curtisberg, FL 44663"	05/17/1947, 00:00:00	(Decimal('-24.301965'), Decimal('110.433442'))	516-34-0482
498	F	Ambulance person	A+	Stephanie Bird	White	"7977 Tara Pines Apt. 295
Summerstown, ME 88711"	1923-04-10	(Decimal('81.9973645'), Decimal('111.505213'))	819-05-7526
499	F	Maintenance engineer	A+	Heather Lawrence	White	"124 Vasquez Court Apt. 218
Harringtonhaven, NM 71206"	05 May 1939	(Decimal('76.957054'), Decimal('-0.208334'))	139-68-9690
500	F	Engineer, maintenance (IT)	O-	Tricia Fowler	Indian	"028 Beasley Parks
Kimberlystad, OH 41746"	27 Feb 1933	(Decimal('-38.650207'), Decimal('-34.068791'))	356-79-1247
501	F	Scientist, research (medical)	O-	Desiree Williams	White	"4571 Krystal Grove
South Gregorybury, AK 94735"	1980-11-12	(Decimal('-29.136484'), Decimal('69.808026'))	216-65-9586
502	F	Magazine journalist	O+	Angela Vasquez	white	"01477 Coleman Lake
Lake Lorettastad, KY 75259"	11/04/2006, 00:00:00	(Decimal('34.178436'), Decimal('-141.068784'))	126-31-8092
503	M	Sound technician, broadcasting/film/video	A-	Steven Brown	Black	"603 Bailey Flats
South Anthonyshire, WA 50434"	03 Aug 1913	(Decimal('-20.2431035'), Decimal('20.471862'))	676-98-0856
504	F	Sports development officer	B-	Robyn Gibson	Black	"081 Mitchell Ridges
North Erin, MA 93717"	02 Mar 1968	(Decimal('-40.8698495'), Decimal('62.353364'))	348-91-1520
505	M	Operations geologist	A-	Shawn Rios	Indian	"841 Susan Rue
New Ryan, OR 94030"	1976-01-13	(Decimal('-72.872977'), Decimal('-22.648443'))	226-20-0340
506	M	Telecommunications researcher	A-	Jason Heath	White	"249 Mckenzie Road
Timothybury, RI 28220"	09 Apr 1943	(Decimal('-65.003036'), Decimal('125.921472'))	180-24-2366
507	M	Product/process development scientist	A-	Daniel Sloan	White	"225 Coleman Plains
Moorebury, NY 75871"	08 Apr 1967	(Decimal('-49.4094725'), Decimal('-123.797481'))	432-71-0839
508	F	Designer, multimedia	A-	Jennifer Barton	Black	"15907 Mark Pines Suite 361
Sampsonview, CA 45421"	03/08/1939, 00:00:00	(Decimal('-71.230464'), Decimal('-170.481430'))	462-16-1242
509	F	Quarry manager	O+	Jennifer George DDS	White	"764 Bryce Glen
Joneschester, NE 46460"	1918-07-05	(Decimal('-45.9467065'), Decimal('51.611343'))	093-96-1657
510	M	Social researcher	AB+	Patrick Simmons	Black	"8284 Abbott Walks
Lake Jonathan, PA 33914"	1918-05-19	(Decimal('79.594025'), Decimal('-156.709051'))	449-80-6745
511	F	Radiographer, diagnostic	AB-	Nicole Olsen	White	"62373 Patterson Unions
Samanthabury, UT 78399"	30 May 1950	(Decimal('45.652893'), Decimal('160.511034'))	032-27-7142
512	F	Race relations officer	A+	Debra Dixon	White	"89456 Robert Orchard
Bonillahaven, ND 91356"	12/08/1929, 00:00:00	(Decimal('54.090949'), Decimal('-165.294094'))	159-67-3368
513	F	Academic librarian	B+	Kylie Davis	White	"0305 Aaron Well
Port Mark, VT 20749"	05/11/1933, 00:00:00	(Decimal('1.590060'), Decimal('-59.473195'))	436-62-6946
514	M	Event organiser	A-	Riley Thompson	White	"5853 Mcconnell Knoll Apt. 351
South Gwendolynville, DE 59009"	2012-01-03	(Decimal('-22.240874'), Decimal('135.243926'))	314-53-2097
515	M	Chartered certified accountant	B+	Juan Miller	White	"34815 Amanda Walk
Oliverberg, HI 62505"	10 Mar 1920	(Decimal('-36.748836'), Decimal('86.223655'))	883-35-7298
516	F	Surveyor, land/geomatics	O+	Lisa Anderson	Black	"USNV Thomas
FPO AA 06635"	1914-10-25	(Decimal('69.908958'), Decimal('69.519387'))	037-15-8858
517	M	Archivist	A+	Marcus Reynolds	Black	"041 Rosario Underpass Suite 781
Port Stephen, WA 23735"	04/28/1953, 00:00:00	(Decimal('55.1882525'), Decimal('-103.399730'))	868-15-1953
518	M	Veterinary surgeon	O-	Troy Moore	Black	"556 Elizabeth Ports
New Dominique, MO 16127"	04/15/1948, 00:00:00	(Decimal('55.5012565'), Decimal('-100.293289'))	293-65-6489
519	F	Agricultural engineer	O-	Madison Chaney	Black	"72132 Hunt Stream
West Reginaland, TX 13950"	1966-10-16	(Decimal('56.6701915'), Decimal('-62.515565'))	625-77-1348
520	M	Best boy	B+	Leonard Simmons	White	"951 Christine Greens
Port Kevin, AR 05324"	1927-10-11	(Decimal('-30.6280775'), Decimal('162.182881'))	035-99-1197
521	M	Surveyor, building control	B-	Joe Moon	White	"Unit 0931 Box 3955
DPO AA 30179"	1935/05/14	(Decimal('-77.0980755'), Decimal('11.673470'))	013-87-3481
522	M	Risk analyst	A+	Anthony Campbell	White	"USS Smith
FPO AE 02605"	29 Jun 1937	(Decimal('-24.594103'), Decimal('-49.084888'))	508-41-2805
523	M	Engineer, water	AB-	Matthew Foster	White	"7478 Burton Well Apt. 716
Lake Andrealand, NV 28666"	10/19/1964, 00:00:00	(Decimal('85.4529515'), Decimal('-52.922665'))	603-90-5141
524	M	Therapist, drama	B+	Christian Castaneda	Hawaiian	"2888 Steele Brooks
North Nathaniel, OH 68216"	11/22/1928, 00:00:00	(Decimal('66.0871435'), Decimal('136.951064'))	061-76-2221
525	F	Surveyor, building	O-	Tamara Castillo	White	"47799 Oneill Radial
Justinside, MT 12586"	1970-05-02	(Decimal('81.2917325'), Decimal('174.524996'))	195-75-0465
526	F	Fashion designer	B+	Amber Martin	Black	"373 Braun Key
North Jamieshire, KY 22518"	08/24/1978, 00:00:00	(Decimal('29.3536265'), Decimal('-125.532273'))	236-82-4817
527	F	Operational investment banker	B-	Jennifer Cooper	Black	"8264 Larson Parkway
Marcusport, RI 40949"	1924/11/17	(Decimal('-59.4252465'), Decimal('-61.339977'))	241-48-7634
528	F	Building services engineer	O+	Alexis Murray	Indian	"8635 Williams Shoal Suite 371
North Heather, NV 33369"	26 Nov 1908	(Decimal('59.161632'), Decimal('108.980023'))	626-37-1610
529	F	Social worker	A+	Dr. Laura Elliott DVM	Black	"543 Wolf Summit Apt. 544
Reedtown, MI 34853"	10/03/1933, 00:00:00	(Decimal('-13.0634545'), Decimal('145.305537'))	318-57-6629
530	F	Psychologist, clinical	AB+	Kayla Kane	Asian	"4223 Cynthia Meadow
Susanmouth, VT 22641"	30 Oct 1967	(Decimal('2.1516295'), Decimal('-155.369548'))	234-47-8292
531	M	Research scientist (physical sciences)	O-	Ryan Doyle	Hawaiian	"9096 Tammy Square
North Stephaniestad, VA 68933"	1928/01/16	(Decimal('-82.166696'), Decimal('9.950213'))	493-45-8862
532	M	Electronics engineer	B-	Peter Schroeder	black	"7532 Lawrence Loop
New Juantown, TX 67718"	13 Nov 1982	(Decimal('-68.295099'), Decimal('101.354922'))	266-19-1442
533	M	Environmental education officer	B-	Jose Hall	black	"102 Courtney Parkway
South Thomas, NC 46213"	1986-08-24	(Decimal('-15.4722125'), Decimal('26.352157'))	849-47-3938
534	F	Public relations account executive	A-	Emma Doyle	Black	"193 Mike Ports
Hillton, CO 40324"	07/24/1972, 00:00:00	(Decimal('-36.9501105'), Decimal('-45.433750'))	535-72-9404
535	M	Electronics engineer	B-	Russell Allison	White	"Unit 7599 Box 2654
DPO AE 65432"	1977/03/30	(Decimal('-1.3614495'), Decimal('-134.599777'))	564-62-1881
536	F	Volunteer coordinator	AB-	Doris Frank	White	"Unit 9959 Box 2909
DPO AP 48301"	01/08/2001, 00:00:00	(Decimal('82.6176965'), Decimal('-2.740583'))	671-76-1158
537	M	Music therapist	AB+	Jonathan Woodward	Black	"Unit 7544 Box 7121
DPO AP 83619"	1906/01/07	(Decimal('-86.9375775'), Decimal('169.733039'))	725-15-2150
538	F	Audiological scientist	AB+	Emily Fields	White	"7560 Francisco Expressway Apt. 444
Jenniferburgh, NE 07727"	10/26/1929, 00:00:00	(Decimal('-65.2313175'), Decimal('-96.298098'))	689-16-2394
539	F	Customer service manager	A+	Bethany Gill	Black	"510 Ashley Manor Apt. 631
New Sarahberg, KY 68440"	1915-01-15	(Decimal('48.3450665'), Decimal('32.941301'))	460-65-5667
540	M	Youth worker	AB-	David Miller	Asian	"908 Jared Motorway
South Jessica, OH 57602"	1957-03-22	(Decimal('4.4147845'), Decimal('125.808151'))	501-77-7969
541	F	Film/video editor	O-	Kayla Clark	White	"25456 Smith Grove
Lake Danielchester, AK 11995"	30 Apr 1909	(Decimal('-14.323291'), Decimal('49.548390'))	671-99-0212
542	M	Tax adviser	AB-	Tyler Phillips	White	"53008 Travis Square Suite 805
North Christian, NH 78030"	11/12/2002, 00:00:00	(Decimal('63.821362'), Decimal('-170.917691'))	158-63-5827
543	F	Social worker	A-	Jessica Morris	White	"PSC 4143, Box 0674
APO AP 69634"	03/06/2004, 00:00:00	(Decimal('10.077454'), Decimal('20.099091'))	602-78-1117
544	F	Risk manager	O+	Shelly Jackson	White	"3841 Delgado Walk
Smithtown, OR 61154"	1961/05/30	(Decimal('22.556107'), Decimal('-78.760252'))	836-35-0740
545	M	Building control surveyor	A+	Brian Hall	White	"2017 Wolfe Meadow Suite 081
Port Evan, MI 17271"	1959-07-10	(Decimal('-25.3332375'), Decimal('133.762474'))	751-18-3883
546	M	Senior tax professional/tax inspector	A+	Thomas Valenzuela	White	"0307 Leblanc Lights Apt. 665
Gonzalezstad, AR 15504"	1970/12/21	(Decimal('3.2612075'), Decimal('162.170652'))	890-21-2868
547	F	Psychologist, occupational	O+	Kelly Barton	White	"74650 Charles Glen
Derekside, AK 37033"	26 Apr 1920	(Decimal('-14.358490'), Decimal('-30.970416'))	861-92-3192
548	M	Water quality scientist	O+	Jonathan Robinson	White	"5713 Fowler Drive
Jessicamouth, AZ 26610"	1990/07/15	(Decimal('-18.283366'), Decimal('-110.818895'))	689-88-4663
549	M	Meteorologist	AB+	William Robinson	black	"8004 Matthew Union
Lucasfort, UT 83604"	02/22/1918, 00:00:00	(Decimal('52.4951235'), Decimal('161.956465'))	122-40-9505
550	F	Ergonomist	AB-	Maria Patel	White	"7373 Williams Ferry
West Henry, WA 42013"	07/16/1987, 00:00:00	(Decimal('25.5161165'), Decimal('-171.247728'))	114-19-1996
551	M	Dance movement psychotherapist	B-	Eric Chapman	Asian	"0765 Christy Estate Suite 065
Rodneyton, NY 05955"	1925-02-18	(Decimal('-66.710571'), Decimal('36.751703'))	412-79-0437
552	M	Clothing/textile technologist	AB+	Terry Hartman	Asian	"408 Mary Village Apt. 123
Lake Garyside, OR 85587"	04/11/1982, 00:00:00	(Decimal('-67.3396475'), Decimal('119.989911'))	409-59-6911
553	F	Radiographer, diagnostic	AB+	Maria Jones	White	"963 Sonya Skyway Apt. 043
Jasonhaven, DE 78912"	08/01/1932, 00:00:00	(Decimal('58.5762955'), Decimal('90.099862'))	540-07-3165
554	M	Textile designer	A+	Michael Johnson	Indian	"216 Steele Fall Suite 978
Jamesmouth, NE 28000"	1980/01/30	(Decimal('-64.4451005'), Decimal('-169.090513'))	221-24-7146
555	M	Animal nutritionist	A-	Dr. Eric Moreno	Indian	"89074 Weeks Route Suite 963
West Stacey, CO 35884"	04/13/1954, 00:00:00	(Decimal('24.266215'), Decimal('-122.357253'))	527-54-3346
556	F	Firefighter	AB+	Stephanie Gill	Black	"5253 Nicole Pine Suite 639
West Williamborough, FL 28728"	02/28/1954, 00:00:00	(Decimal('-19.4431235'), Decimal('-167.551344'))	547-26-8969
557	M	Control and instrumentation engineer	AB+	Bradley Spencer	Black	"565 Park Common Apt. 228
New Ronald, NJ 95199"	25 Aug 1941	(Decimal('42.7227145'), Decimal('75.714732'))	555-93-2818
558	F	Surveyor, quantity	B-	Alyssa Berry	Asian	"6153 Miller Courts Apt. 993
Kellymouth, MI 92623"	1930-10-19	(Decimal('-44.304398'), Decimal('55.095535'))	844-75-1493
559	F	Nurse, adult	B-	Ashlee Gonzalez	Black	"95166 Ryan Squares
Port Kayla, WY 06846"	09 Jun 1939	(Decimal('47.2827615'), Decimal('166.370628'))	758-97-2600
560	M	Furniture conservator/restorer	AB-	Raymond Cooper	White	"27630 Ashley Path
New Johnny, RI 50465"	25 Oct 2000	(Decimal('-13.116619'), Decimal('5.806736'))	336-74-3857
561	F	Leisure centre manager	O-	Alexandra Hanson	Black	"8497 Lawson Plaza
North Robert, AK 43092"	02 May 1955	(Decimal('-59.426819'), Decimal('-34.608453'))	396-13-1902
562	M	Ship broker	O+	Michael Pierce	White	"28145 Raymond Falls
Freyview, MA 90142"	13 Sep 1948	(Decimal('-36.1372295'), Decimal('-148.523309'))	793-04-1909
563	M	Materials engineer	A+	John Watts	White	"27147 Kyle Canyon
East Joseph, OK 38794"	1910-12-06	(Decimal('-14.7873405'), Decimal('-152.367054'))	576-72-2304
564	M	Financial planner	AB+	John Foster	Indian	"639 Hamilton Vista
Joneshaven, SD 93145"	12/01/1935, 00:00:00	(Decimal('34.694052'), Decimal('170.423068'))	684-08-6409
565	M	Scientist, research (life sciences)	A+	Edward Walker	Black	"USCGC Knight
FPO AP 79059"	29 Mar 1985	(Decimal('-3.364770'), Decimal('20.223305'))	055-93-3404
566	F	Outdoor activities/education manager	AB-	Joanna Austin	White	"89066 Adam Squares Suite 798
Kempfurt, OH 07412"	09/22/1994, 00:00:00	(Decimal('-24.5505045'), Decimal('162.584795'))	458-65-8085
567	M	Geologist, engineering	B-	Max Donovan	Black	"525 Hayes Drive Apt. 889
Thomastown, TX 06219"	24 Apr 2017	(Decimal('-56.107485'), Decimal('-127.019076'))	384-95-6476
568	F	Research scientist (physical sciences)	A-	Margaret Johnson	Black	"084 Jennifer Island
Grantland, TN 20138"	1937-11-05	(Decimal('3.778346'), Decimal('-101.458237'))	408-21-9690
569	F	Research scientist (life sciences)	O+	Jessica Holland	White	"85751 Albert Squares
East Russell, ME 19266"	09/15/1995, 00:00:00	(Decimal('86.263812'), Decimal('-167.941274'))	510-23-4187
570	M	Hydrogeologist	O-	Darren Hensley	Hawaiian	"0324 Villegas Flat Suite 355
Whitneyhaven, KY 64105"	08/03/2016, 00:00:00	(Decimal('-63.4495045'), Decimal('129.498045'))	173-62-7730
571	M	Public relations account executive	AB-	Andrew James	Asian	"25461 Christopher Shoal
Sharpberg, VT 72204"	03 Jul 2018	(Decimal('-30.692604'), Decimal('171.510806'))	142-61-6543
572	F	Editor, film/video	B-	Cheryl Lopez	White	"4302 Anderson Radial Suite 447
North Gregoryhaven, NJ 51380"	24 May 1973	(Decimal('-75.036234'), Decimal('58.763407'))	060-81-1252
573	F	Audiological scientist	O+	Carrie Allen	Asian	"107 Michelle Junctions Apt. 217
Lake Michelleborough, NH 97217"	11/08/2012, 00:00:00	(Decimal('74.922723'), Decimal('-99.715608'))	505-50-7611
574	F	Mudlogger	O-	Candice Price	White	"2786 Kevin Mission Apt. 276
Elizabethtown, NY 20514"	22 Mar 1974	(Decimal('-32.5813025'), Decimal('-62.131587'))	394-91-7083
575	F	Waste management officer	A+	Nichole Kelly	White	"4842 Carter Falls
North Julie, MN 79091"	1949-11-08	(Decimal('-24.324035'), Decimal('8.926936'))	777-94-1533
576	M	Research officer, political party	AB+	Eric Choi	Asian	"8513 Arroyo Points
Chloebury, MA 83841"	1976/07/28	(Decimal('-11.376146'), Decimal('-22.689767'))	480-44-4001
577	F	Graphic designer	AB+	Kylie Calderon	Asian	"0580 Robinson Alley Apt. 217
Emilybury, OH 82939"	04/09/1943, 00:00:00	(Decimal('-60.777534'), Decimal('152.418908'))	024-49-7771
578	F	Embryologist, clinical	A+	Megan Barker	White	"934 James Summit
Lake Danielleburgh, LA 75727"	02/28/2019, 00:00:00	(Decimal('82.928654'), Decimal('48.897084'))	471-98-2218
579	M	Public relations account executive	B+	Zachary Kim	White	"118 Cummings Mill
Tommyton, CT 63895"	1977-05-06	(Decimal('79.3165565'), Decimal('165.116513'))	331-27-4323
580	F	Development worker, community	O+	Rachel Castillo	White	"213 Christina Hollow Apt. 142
North Benjaminfort, VT 75116"	29 Oct 1914	(Decimal('86.359307'), Decimal('-83.638950'))	429-70-9136
581	M	Scientist, research (maths)	B-	Thomas Bridges	White	"032 Holmes Shore Suite 323
Calderonside, MD 39474"	25 Apr 1959	(Decimal('83.263259'), Decimal('-134.751333'))	043-96-7804
582	F	Insurance claims handler	B+	Megan Carr	Black	"USCGC Graham
FPO AE 27662"	1918-10-19	(Decimal('-40.611565'), Decimal('-165.007481'))	394-97-1567
583	M	Oncologist	O+	Gerald Liu	Hawaiian	"USS Briggs
FPO AP 50866"	06/25/2013, 00:00:00	(Decimal('-88.593558'), Decimal('57.619024'))	646-43-1849
584	F	Personal assistant	O+	Shirley Hodge	White	"436 Warren Throughway Suite 248
Beckerview, NV 80546"	14 Sep 1928	(Decimal('69.111900'), Decimal('93.117248'))	564-26-0855
585	F	Adult guidance worker	AB+	Victoria Sandoval	Black	"90585 Jessica Park
Millerland, AR 06833"	17 Jun 1986	(Decimal('75.1755895'), Decimal('122.279290'))	556-78-8700
586	M	Emergency planning/management officer	O-	Robert James Jr.	White	"USS Medina
FPO AP 78370"	02/01/1912, 00:00:00	(Decimal('35.4515465'), Decimal('105.105815'))	824-52-1806
587	F	Video editor	O-	Brandi Ponce	blsck	"8446 Underwood Mountains
Jasonfurt, DC 01895"	1948/05/22	(Decimal('-60.6204635'), Decimal('-58.165791'))	270-98-0864
588	M	Commercial horticulturist	O+	Daniel Ruiz	White	"28176 Stephanie Key Suite 688
Andersonburgh, ND 84210"	11/11/2018, 00:00:00	(Decimal('69.2956575'), Decimal('119.381471'))	795-44-0913
589	F	Journalist, broadcasting	AB-	Shelly Carlson	White	"3827 Roach Harbor Apt. 256
Kellyville, ND 51930"	1996/09/13	(Decimal('-78.6982715'), Decimal('-157.345124'))	809-42-6792
590	F	Community education officer	O-	Kelly Terry	Black	"PSC 0862, Box 6491
APO AA 02600"	1951/01/05	(Decimal('33.024029'), Decimal('-141.459115'))	010-85-0480
591	M	Airline pilot	A-	Wesley Kelly	Black	"91831 Sandra Ramp Suite 957
Moyerhaven, FL 41639"	1998-11-08	(Decimal('87.151536'), Decimal('-85.245685'))	059-09-8417
592	M	Scientist, research (physical sciences)	O+	Dr. Benjamin Cochran MD	White	"365 Alexander Neck Apt. 117
Lake Sarah, TX 14743"	04/05/2004, 00:00:00	(Decimal('37.533350'), Decimal('16.079151'))	752-73-2647
593	M	Purchasing manager	B+	Jordan Martinez	White	"434 Martin Wall
New Stephaniemouth, WI 94159"	10/08/1932, 00:00:00	(Decimal('-65.0887115'), Decimal('101.174219'))	366-15-8823
594	F	Psychologist, forensic	AB-	Ashley Burton	Black	"70271 Jones Falls
Chaseborough, MI 45628"	06/01/2008, 00:00:00	(Decimal('-73.960533'), Decimal('-46.022717'))	476-37-2066
595	M	Retail buyer	AB-	Elijah Martinez	Asian	"373 Chase Freeway Suite 676
South Laurie, KS 43831"	1949-11-07	(Decimal('49.467658'), Decimal('-81.392658'))	410-86-3190
596	M	Runner, broadcasting/film/video	B-	Matthew Walton	Asian	"02441 Karen Spurs
Bellfurt, DC 12074"	24 Jul 1981	(Decimal('61.358515'), Decimal('50.592902'))	387-42-3949
597	F	Sports administrator	A-	Victoria Brooks	Indian	"5749 Finley Burgs Apt. 737
North Erin, LA 32889"	05/29/1998, 00:00:00	(Decimal('50.363824'), Decimal('-178.383991'))	514-09-7209
598	F	Armed forces technical officer	A-	Yolanda Ruiz	Asian	"PSC 7627, Box 5567
APO AA 70813"	09/11/1947, 00:00:00	(Decimal('-14.5122005'), Decimal('48.127903'))	584-84-2263
599	F	Chief Financial Officer	A-	Theresa Payne	white	"50389 Annette Canyon
Stephaniemouth, WV 75306"	12/11/1969, 00:00:00	(Decimal('-7.2801875'), Decimal('-68.230961'))	308-12-3875
600	F	Surveyor, minerals	AB-	Jennifer Mann	White	"45693 Carpenter Unions
Woodsborough, TX 10819"	07/02/1966, 00:00:00	(Decimal('38.2202885'), Decimal('34.005216'))	595-63-1825
601	F	Engineer, maintenance (IT)	A+	Dorothy Johnson	Asian	"1666 Wells Ridge Apt. 354
South Martin, TX 79440"	25 Dec 1908	(Decimal('39.9596615'), Decimal('46.545984'))	309-31-1902
602	F	Copywriter, advertising	AB-	Phyllis Hoffman	White	"68598 Nicole Crescent Suite 760
Port Yolanda, NC 75590"	08 Jun 1932	(Decimal('39.7965855'), Decimal('42.033250'))	059-51-7269
603	F	Hospital doctor	A+	Michelle Rhodes	Black	"41009 Morton Ports Suite 146
Espinozaview, NM 73761"	1989/05/10	(Decimal('-20.252259'), Decimal('-136.415903'))	393-11-7181
604	F	Speech and language therapist	A-	Jennifer Chang	White	"2953 White Ford
Antoniofort, KS 54697"	09/22/1922, 00:00:00	(Decimal('77.533146'), Decimal('156.617356'))	624-51-8108
605	F	Geographical information systems officer	B+	Valerie Gonzalez	White	"966 Tucker Lake
South Nicole, KS 03071"	1908-07-17	(Decimal('-12.061899'), Decimal('-55.837250'))	251-55-1631
606	F	Careers adviser	O-	Brittney Johnson	White	"5139 Jeffrey Club Apt. 725
Weaverton, AZ 78963"	05 Jul 1964	(Decimal('61.7430255'), Decimal('69.562026'))	388-49-3956
607	M	Scientist, water quality	A-	William Keller	blsck	"607 Hood Mall
Ballardmouth, SC 54016"	1959-11-04	(Decimal('74.6723595'), Decimal('73.463811'))	887-95-7930
608	M	Administrator, sports	O+	George Hayes	Hawaiian	"PSC 3734, Box 1675
APO AE 79515"	2003-04-04	(Decimal('62.063583'), Decimal('-95.533390'))	197-68-5170
609	M	Dance movement psychotherapist	O-	Donald Leblanc	White	"2546 Goodwin Gateway
Lake Susanmouth, MD 19596"	11/09/1939, 00:00:00	(Decimal('-7.660816'), Decimal('-170.343807'))	197-72-7917
610	F	Biomedical scientist	A+	Bethany Molina	White	"90796 Lisa Lake
Port Rickey, CT 47577"	23 Oct 1966	(Decimal('40.8079085'), Decimal('-29.073686'))	872-46-9488
611	M	Civil engineer, consulting	A+	Nathan Odonnell	blsck	"USNV Harrison
FPO AA 28229"	1984/06/13	(Decimal('65.016995'), Decimal('63.111826'))	224-82-4839
612	F	Food technologist	AB-	Stacy Harris	Black	"5410 Steven Burgs Suite 842
Rodriguezmouth, SD 85162"	20 Dec 2007	(Decimal('29.967266'), Decimal('52.495448'))	667-31-5544
613	M	Energy engineer	B+	Christian Stark	White	"Unit 1560 Box 1517
DPO AE 90688"	1933-04-06	(Decimal('83.607780'), Decimal('-150.674912'))	380-50-4903
614	F	Barrister's clerk	O+	Lisa Long	White	"726 Diane Streets
Helenfort, MA 77393"	09/04/1940, 00:00:00	(Decimal('19.7172155'), Decimal('105.639308'))	486-32-9207
615	F	Hydrographic surveyor	B+	Melanie Blanchard	White	"943 Robert Oval
North Danielle, OH 54556"	11/12/1953, 00:00:00	(Decimal('-61.277360'), Decimal('52.053747'))	503-29-8521
616	F	Data processing manager	O-	Megan Santos	White	"9359 Reed Mill Apt. 734
Port Jackmouth, MT 20565"	01/14/1991, 00:00:00	(Decimal('16.6476565'), Decimal('-89.936309'))	478-10-6352
617	M	Industrial buyer	O-	Robert Brown	Indian	"685 Ian Inlet
Port Kaitlynmouth, SD 50007"	11 Oct 1913	(Decimal('77.9740625'), Decimal('-80.064521'))	174-28-5341
618	F	Product designer	A-	Tonya Whitehead	White	"907 Sylvia Mount
Johnshire, NJ 90177"	15 Mar 1951	(Decimal('-78.968200'), Decimal('-138.656502'))	867-66-0200
619	F	Development worker, community	A+	Cheyenne Barber	White	"7045 Nicholas Land Suite 757
South Jeffery, NH 87327"	1926-06-27	(Decimal('43.0131915'), Decimal('10.395435'))	561-33-4270
620	F	Publishing rights manager	A+	Nicole Davidson	White	"2406 Oconnor Lights
New Dylanport, KY 58967"	1998/09/12	(Decimal('-13.9001205'), Decimal('-144.148595'))	118-98-3881
621	F	Accountant, chartered	O-	Tiffany Baker	black	"1080 Morris Street Apt. 024
New Ashleyland, AL 26701"	2008-02-21	(Decimal('63.034482'), Decimal('179.874213'))	426-17-0691
622	F	Administrator, local government	B+	Tracy Parker	White	"570 Wilson Track Suite 842
Garciamouth, CT 32620"	1928/05/27	(Decimal('46.8469135'), Decimal('-66.061392'))	211-70-0606
623	M	Designer, interior/spatial	B-	Aaron Brown	Black	"06563 John Knoll Apt. 143
Port Robert, TN 27597"	1910-07-05	(Decimal('-64.060331'), Decimal('-117.224776'))	669-09-2111
624	F	Clinical molecular geneticist	AB+	Colleen Holmes	Indian	"6052 Jessica Village
Myersburgh, ID 07671"	03/31/1923, 00:00:00	(Decimal('56.3564875'), Decimal('-112.657503'))	159-69-5077
625	F	Health physicist	B+	Donna Rasmussen	White	"5683 Stewart Ville
North Stephanieburgh, OH 73590"	29 Jun 2020	(Decimal('37.043777'), Decimal('-120.790104'))	137-42-3889
626	F	Engineer, manufacturing	B-	Jessica Johnson	Black	"41278 Coleman Trail Apt. 051
New Jeanne, UT 77721"	05/07/1906, 00:00:00	(Decimal('-81.922827'), Decimal('-122.740765'))	886-97-8391
627	M	IT sales professional	AB+	Mario Hernandez	White	"3928 Richard Corner
Dawntown, TN 97148"	1913/03/16	(Decimal('3.6311835'), Decimal('-22.929022'))	338-40-7549
628	M	Psychologist, prison and probation services	B+	Devin Diaz	White	"1761 Ariana Overpass
West Stacymouth, WY 82620"	2018/02/17	(Decimal('6.5051925'), Decimal('-136.820637'))	597-97-9078
629	F	Biomedical scientist	B+	Anne Pham	White	"237 Sandra Fords Apt. 557
West Sara, AK 41183"	2017/08/10	(Decimal('-53.0295315'), Decimal('61.361664'))	497-21-5921
630	F	Secretary, company	B-	Betty White	Indian	"7648 Boyd Circle
Angelatown, KY 55121"	05/10/1956, 00:00:00	(Decimal('80.5190575'), Decimal('104.654268'))	480-18-6351
631	F	Nature conservation officer	O+	Kathy Yu	Asian	"98208 Paul Springs Apt. 513
Edwardbury, NY 04191"	10/12/1927, 00:00:00	(Decimal('-46.5942245'), Decimal('-120.370855'))	269-98-5821
632	F	Chiropractor	O+	Tanya Gibson	Black	"2765 Martin Isle
Lake Karenshire, MS 96157"	1934-07-21	(Decimal('49.9690165'), Decimal('119.260396'))	403-58-2934
633	M	Immunologist	A+	John Hudson DDS	White	"262 James Vista
Tammyville, MD 69878"	06 May 1947	(Decimal('-34.0396425'), Decimal('-16.722899'))	139-20-7912
634	F	Firefighter	A+	Danielle Pham	Black	"612 Mark Plaza
Carterstad, NV 63578"	1947-04-28	(Decimal('36.301426'), Decimal('-140.794842'))	838-85-6038
635	M	Sports development officer	O+	Grant Walker	Hawaiian	"28663 Jared Meadows Apt. 055
Jerryhaven, DC 12207"	1982/08/05	(Decimal('-34.243950'), Decimal('-27.430077'))	307-45-9269
636	F	Radio producer	B-	Kelly Hughes	Hawaiian	"8686 James Throughway
Danahaven, RI 74561"	1954/01/22	(Decimal('66.827951'), Decimal('102.287535'))	891-14-8499
637	M	Psychologist, educational	O-	Andrew Pratt	White	"90513 Cory Plaza
West Christopherview, MO 62350"	24 Nov 1971	(Decimal('29.943768'), Decimal('147.651428'))	221-54-2627
638	F	Race relations officer	A-	Elizabeth Morgan	White	"37438 Jessica Flats Suite 227
Seanland, WI 06411"	1952/12/28	(Decimal('37.228884'), Decimal('21.834116'))	874-71-9215
