	er-cv	name	indicator	leukocyty	weight	ssn	relationship	etytr	smoker	erytrocyty	trombocyty	hemoglobin	ast	alp	alt	hematokrit	hbver
1884	51.88760	Daniel Brown	1.00000	4.80344	91.87561	614-78-1598	divoced	5.97970	no	6.29238	5.92626	2.63127	73.10774	13.31495	11.97277	10.20495	5.04317
1885	65.76182	Donna Shaw	1.00000	4.68044	99.15173	553-40-2808	single	6.78590	Y	6.05802	6.57524	6.58144	53.30190	85.25028	9.52478	7.80506	9.83084
1886	67.07349	Tim Jensen	1.00000	5.79214	54.55716	331-34-6251	divoced	7.37109	no	5.09702	5.60357	3.37179	65.73425	13.05329	8.63618	5.66641	6.59046
1887	53.73565	Katrina Robbins	0.00000	7.10474	84.11860	677-46-1907	divoced	5.66006	Y	6.06791	7.00939	7.31015	52.05770	69.95888	8.33928	7.41693	7.48690
1888	60.45238	John Chavez	1.00000	7.88954	4.29341	034-58-3859	widowed	6.30370	N	6.07677	5.08360	2.83062	41.11536	12.49215	9.54986	1.69379	7.67468
1889	38.24229	Joe Gardner	1.00000	7.46120	84.79594	456-65-5143	single	4.57810	no	5.76006	7.13545	1.43432	60.02916	52.40651	9.55228	1.05371	6.13940
1890	40.84371	Angela Scott	1.00000	5.02248	52.81519	816-80-9533	married	6.92229	Y	6.21519	6.50922	4.83812	27.01052	55.04771	13.24902	6.09027	6.87993
1891	74.66419	John Hudson DDS	1.00000	5.32623	42.55248	139-20-7912	single	5.08703	yes	5.34693	4.47863	4.06325	65.82472	21.38251	8.76609	6.33230	8.06873
1892	54.62153	Christopher Horne	0.00000	6.86126	26.01629	667-17-3722	separated	6.29458	no	5.75535	7.44894	5.33857	38.29544	77.75149	8.65003	7.66075	8.76926
1893	29.11688	Zachary Osborn	1.00000	10.35511	28.73852	427-04-5094	married	5.23274	no	6.21619	6.17733	2.46298	59.24184	16.50424	12.27784	3.91402	7.81603
1894	53.54547	Ryan Mason	1.00000	4.84753	14.17609	638-14-0408	nop	5.39515	no	6.23246	5.90672	6.75992	60.28938	80.55577	11.63558	8.87907	9.91780
1895	91.22926	Megan Smith	0.00000	8.65997	73.23921	791-79-4384	married	4.57171	Y	7.23925	6.42740	5.79517	49.97224	86.30929	17.14275	6.20650	6.63539
1896	44.15859	Miranda Bishop	1.00000	5.61932	101.17078	398-33-7757	divoced	6.61313	Y	4.93176	5.10249	4.41271	46.11662	41.10536	5.22913	4.09146	6.04784
1897	53.70909	Michael Phillips	1.00000	4.94979	62.60921	155-82-8401	married	6.06642	yes	6.13116	6.27602	5.20127	19.62577	68.82745	7.89543	6.98107	6.98812
1898	43.95540	Ryan Kramer	1.00000	5.55551	110.68855	023-03-1918	married	5.49943	Y	5.92882	4.63258	3.99267	52.09352	18.61311	9.80753	9.06899	8.27152
1899	48.73765	Katherine Green	0.00000	8.13135	100.88153	346-77-5319	divoced	6.19753	Y	5.85672	6.34358	5.00624	44.26480	66.60586	7.59416	6.71098	7.32483
1900	37.43142	Barry Faulkner	0.00000	6.67442	90.17763	844-64-4946	divoced	6.26634	Y	4.95872	6.43414	8.20692	50.54626	37.31984	5.23148	6.73870	6.62690
1901	41.50381	Catherine Russo	1.00000	4.83859	100.21499	182-21-1545	widowed	5.40200	Y	6.93313	7.43898	2.04171	45.85216	29.53658	12.12173	6.94219	3.02106
1902	75.71957	Melissa Rubio	0.00000	9.71766	69.15764	261-47-8484	nop	6.01397	no	6.88335	6.25500	9.31295	56.61714	12.43959	15.60047	7.03235	8.85379
1903	33.64501	Patrick Martinez	0.00000	6.71309	62.36015	871-23-2706	married	7.76272	Y	7.10059	7.08595	5.26680	48.70475	75.96336	14.99188	8.11324	7.10303
1904	49.92365	Leonard Alexander	0.00000	6.96153	76.45465	526-16-1586	single	5.88406	no	6.63541	8.26114	3.87217	40.57749	26.22870	8.98062	7.93308	7.88563
1905	31.19435	Linda Holland	1.00000	6.07811	62.45751	724-18-6956	single	6.07764	yes	6.12440	5.77977	3.92858	32.96929	14.19788	11.49877	3.50225	6.68846
1906	52.79666	Carol Martinez	0.00000	7.85427	74.03686	848-17-5174	divoced	6.10747	no	6.01197	6.69503	5.83602	46.11580	82.25230	9.47080	6.75355	7.93630
1907	64.09605	Valerie Lopez	0.00000	6.33596	90.75554	453-91-1283	divoced	6.66176	no	5.70056	5.29485	7.67011	33.59484	62.26649	7.46899	7.93188	8.26465
1908	48.52730	Joseph Thomas	0.00000	5.95794	107.29111	169-14-3487	nop	6.36270	no	4.27551	6.77091	2.52865	58.80606	17.56189	4.62144	9.11887	7.85249
1909	69.24328	Michelle Smith	1.00000	6.04283	71.12086	117-85-7952	married	6.57380	Y	5.95906	6.27997	4.18930	69.14752	29.64650	8.90095	3.56193	6.81265
1910	69.86886	Janet Banks	1.00000	7.98737	49.64817	186-47-0397	married	7.47078	no	7.50535	6.48007	5.85276	63.71977	89.39815	14.32982	4.51931	8.84357
1911	49.12217	Rachel Mclaughlin	0.00000	6.38576	111.65367	593-85-8733	married	6.49702	no	8.49815	6.08087	4.00582	28.08893	25.19856	34.62794	8.63589	7.01812
1912	42.88592	Tricia Walters	1.00000	8.11745	54.02636	741-12-4053	widowed	7.16591	Y	7.00269	5.46003	4.80838	48.59746	54.25155	11.67142	4.45714	7.84240
1913	79.87401	Angela Acosta	1.00000	7.72603	97.21647	389-41-1694	widowed	6.33900	yes	4.78787	7.15795	4.69727	45.86511	53.76191	4.59917	4.65079	7.54909
1914	74.89870	Richard Davenport	1.00000	5.38876	110.16314	614-62-7520	nop	6.94729	no	6.79895	4.72131	4.48917	42.25846	41.81515	12.72705	6.15281	8.21531
1915	36.11015	Gina Acevedo	1.00000	5.10144	34.24789	364-07-3754	widowed	5.54287	yes	6.48261	5.83014	6.57161	56.40256	80.53699	11.18776	8.27591	10.27360
1916	38.93790	Erin Sawyer	0.00000	6.78042	80.01385	011-27-7400	nop	5.34888	no	8.45118	6.29926	4.73468	40.63589	49.58881	29.35298	7.85616	
1917	47.59206	Diana Joseph	0.00000	6.58631	7.90492	733-90-8974	separated	5.66036	yes	6.24035	6.15986	8.13607	69.28546	36.55644	13.93375	4.52422	7.37232
1918	46.46558	Michael Moore	1.00000	7.47230	40.07521	613-71-6520	divoced	4.35307	no	8.61401	6.09000	4.52830	54.29353	49.11425	41.02711	5.71759	6.74834
1919	39.38649	Michael Davis	1.00000	4.72203	54.42054	005-40-4956	single	4.75310	no	5.82318	5.69689	5.71777	49.45034	82.35710	10.44183	7.85376	6.66744
1920	64.79403	Amy Livingston	0.00000	7.00641	96.64941	762-40-1104	married	6.82201	no	5.37687	7.62697	5.47602	70.31675	78.61303	6.93277	8.48008	7.06631
1921	41.00508	Brandon Williams	0.00000	6.35911	41.05321	767-12-2560	nop	6.62161	no	5.69929	7.07683	6.48972	54.49965	89.80221	9.25698	8.58054	6.20738
1922	38.95623	Rose Harris MD	0.00000	8.56047	70.59744	042-57-6118	single	6.75149	no	7.69258	5.61596	7.75926	66.90979	51.75916	20.16008	6.10085	6.12665
1923	54.43337	Amanda Duke	1.00000	8.95295	105.74937	610-02-9358	widowed	7.00343	no	6.11396	7.27816	6.14964	72.54502	92.43762	9.94379	7.30323	8.11133
1924	59.00287	Angela Davis	1.00000	7.73201	54.68945	807-18-7216	divoced	6.02322	no	5.97519	7.81838	7.72585	63.85492	57.31745	8.14533	7.71515	8.53016
1925	68.48517	Collin Campbell	1.00000	5.16073	96.70126	273-37-0819	nop	5.10786	no	5.59426	6.20418	5.24188	34.70463	66.59753	13.38967	7.61444	7.93831
1926	57.45615	Jeffrey Smith	1.00000	5.05792	83.45383	196-63-7096	widowed	6.72932	yes	5.95560	5.57202	6.13474	44.98751	84.47036	10.04398	8.00736	9.21203
1927	63.20523	Anthony Vazquez	0.00000	9.10016	55.52143	113-43-9405	single	5.51952	yes	6.63861	4.10401	5.35611	37.95624	73.48213	11.04110	5.80632	6.82246
1928	53.09849	Kelly Walton	0.00000	6.30718	45.65029	690-86-2155	single	5.97205	no	7.07595	4.93269	5.33024	53.16647	65.90718	13.18433	7.56516	7.10125
1929	39.39824	Laura Baldwin	1.00000	4.69577	115.73065	743-26-8365	married	6.13589	no	4.92984	5.36010	4.45763	41.69627	41.93901	10.79352	4.65197	5.79920
1930	76.36445	Christine Miller	0.00000	10.38230	73.44067	452-24-4993	separated	5.95041	yes	6.77617	6.60238	5.66787	55.12668	79.01539	12.90974	4.64672	5.91810
1931	33.61709	Sean Ward	1.00000	5.78321	70.96227	598-65-1233	married	6.48254	no	7.18906	7.53729	2.17718	51.26991	21.23311	13.38346	6.84913	5.28267
1932	44.62806	Kelly Walton	1.00000	5.95966	106.55187	690-86-2155	widowed	5.24288	no	6.75129	7.94561	5.50310	80.21677	76.41739	10.92985	5.18529	6.84391
1933	33.19915	Kimberly Cole	0.00000	6.41289	52.20278	183-52-0480	married	6.97579	no	6.67802	5.76034	3.66268	49.78733	12.10579	8.63608	8.36523	8.71221
1934	38.16851	Sean David	1.00000	8.37541	45.60840	803-24-7393	widowed	6.84385	no	3.58208	7.65676	4.37779	58.12280	33.58295	8.80180	5.68233	6.99019
1935	36.29191	Christopher Newman	0.00000	9.09431	69.16177	830-95-5688	widowed	5.77011	N	6.42323	5.96136	7.46009	16.88824	60.42997		5.54452	6.60068
1936	57.50877	James Buchanan	0.00000	5.93194	92.48120	411-41-1873	single	4.83516	yes	5.87686	4.26663	3.96647	26.00018	25.87524	9.40545	8.91991	7.99720
1937	67.94368	Rachel Brown	1.00000	5.28894	68.84324	368-59-9317	married	7.19540	no	4.93290	5.91845	5.87873	77.68232	84.41613	9.69914	7.02730	8.93010
1938	57.02515	Steven Evans	1.00000	5.42479	142.60003	318-52-9086	married	7.62134	no	7.58699	5.57630	4.70715	53.12843	56.79803	18.46372	2.61989	7.07821
1939	49.82014	Daniel Carter	1.00000	4.95719	62.48763	125-31-3228	married	3.94373	no	6.07471	5.86654	4.88193	47.88408	59.43269	9.96555	8.52896	8.35761
1940	41.56190	Ashley Thomas	1.00000	11.30599	98.29137	584-21-6353	divoced	7.04389	yes	5.74148	6.14495	3.95747	59.13524	22.37252	6.91759	6.84951	8.13288
1941	48.51042	Jeanette Yang	0.00000	8.63908	59.27197	867-05-2236	divoced	4.54248	yes	5.21950	8.52198	6.59223	52.78309	80.82531	10.17434	6.21387	5.98233
1942	34.25332	Raymond Davis	1.00000	5.40541	83.32428	198-05-6896	separated	5.46339	no	5.58908	5.81828	3.28151	51.53684	12.45079	10.92544	9.37835	6.98185
1943	77.84921	Emily Yates	1.00000	7.55051	65.47271	361-02-7361	divoced	4.06754	Y	5.49750	7.20796	2.78811	43.73060	15.88840	5.53250	0.47490	8.07946
1944	60.80787	Bethany Contreras	0.00000	5.62155	33.06680	500-47-4373	divoced	6.77126	Y	5.93468	5.50357	4.81832	51.33212	59.24240	10.14357	9.07290	8.11126
1945	40.86742	Donna Kirby	1.00000	7.50667	128.18524	380-62-7803	single	6.27546	no	4.77829	6.76088	4.97901	70.37974	61.25200	9.84554	3.62690	7.90479
1946	47.26624	Kim Barton	0.00000	6.95923	67.60601	459-46-6244	divoced	5.86860	no	5.98294	6.14909	4.72426	44.54110	61.56411	6.90918	8.03404	6.58216
1947	49.30258	Richard Phillips	1.00000	4.60280	35.07983	555-60-6123	divoced	3.77584	no	5.09670	6.07981	5.64460	50.07413	77.42105	2.29296	6.90532	6.65457
1948	56.63913	Lindsey Tran	1.00000	5.00690	75.15263	153-26-8212	single	6.35001	no	6.16379	6.29824	5.60768	22.12156	78.82458	7.11472	5.17978	6.13038
1949	24.81303	Anthony White	0.00000	7.64082	-10.78963	712-34-9500	divoced	6.81547	no	5.14951	4.51154	3.49259	66.04537	11.78591	13.61591	7.42846	7.23405
1950	27.04941	Melissa Robinson	0.00000	7.61294	56.80632	762-75-8284	widowed	5.50501	no	5.24554	5.25048	5.39079	65.14240	78.20019	5.35428	6.77525	9.58968
1951	34.05263	Angela Solomon	0.00000	7.00136	101.33845	355-33-5790	nop	6.66230	Y	6.43437	6.79913	7.88697	57.13664	52.02040	13.06798	7.75295	7.20809
1952	48.44981	Morgan Hess	0.00000	8.00059	77.37664	112-66-1238	single	6.72007	no	6.21844	6.56102	6.71073	33.93763	86.22480	10.86051	6.62616	7.31060
1953	33.63575	Glen Brady	1.00000	4.99261	96.99342	464-78-9434	married	6.98815	no	6.23792	6.82491	3.65930	29.02434	9.14580	8.23407	8.78608	6.17533
1954	37.66034	Mrs. Jennifer Jones	1.00000	8.22737	-6.71877	684-54-6750	widowed	6.83944	no	5.28272	5.33417	4.38986	44.62740	39.19644	6.16252	5.47650	7.26223
1955	60.86222	Crystal Clark	1.00000	4.76381	65.40589	204-25-0223	divoced	6.27157	no	5.39678	5.23103	7.87305	49.96690	50.27790	9.98012	4.71567	9.55743
1956	54.53293	Dr. Gregory Campos MD	1.00000	8.92792	48.08916	129-63-2044	married	6.54765	yes	6.57261	6.21044	5.08685	48.58907	62.07180	13.41767	6.55051	7.21489
1957	36.56032	Beth Moore	0.00000	8.08625	87.29592	698-81-2764	separated	6.13528	Y	6.26638	5.94469	5.13402	57.42724	67.49773	3.35567	6.83872	6.73430
1958	51.56330	Jon Alexander	0.00000	8.31192	42.58930	614-56-3502	widowed	5.67974	Y	6.77246	6.72133	7.08219	52.30866	75.59201	8.08912	6.32191	6.79061
1959	42.77759	Michael Wolfe	1.00000	7.20931	2.53323	059-64-7508	married	8.31245	Y	7.95680	7.14703	4.00115	44.71367	24.80281	20.70256	3.53396	7.17244
1960	53.26058	Susan Hawkins	1.00000	9.32044	45.38155	882-43-0305	single	7.84697	no	5.58732	5.67983	6.30255	51.11310	90.37154	11.21624	6.24696	9.27427
1961	16.29339	Matthew Burns	1.00000	7.67895	33.38842	437-63-7264	married	7.46438	Y	6.37344	4.98076	6.71255	52.00111	91.56702	6.36755	6.97502	7.73266
1962	40.24529	Jennifer Santiago	1.00000	8.42284	71.43273	130-23-9581	divoced	6.80120	no	9.17303	5.31818	5.04993	76.26516	63.69821	54.15745	5.98333	7.39897
1963	30.63611	Jonathan Woodward	0.00000	8.41042	81.68595	725-15-2150	single	4.46922	no	6.68568	8.00150	5.77588	60.82317	83.58437	9.11874	6.77923	7.57509
1964	53.25399	Ryan Rodriguez	0.00000	5.92222	140.91629	147-21-6857	married	7.00376	no	5.46296	4.75332	6.04362	55.85996	91.15224	4.10536	8.29759	9.92896
1965	49.00027	Leonard Johnson	0.00000	8.39467	59.98054	730-99-7724	widowed	6.72262	Y	5.89501	5.39049	4.36642	51.78345	30.52493	9.96730	6.53676	7.43277
1966	44.37355	Michael Powell	0.00000	6.91845	75.04465	484-22-4225	married	6.75022	yes	4.21824	5.96555	6.45543	39.95540	87.76709	9.82686	7.07139	7.61415
1967	48.80711	Nicholas Thomas MD	1.00000	9.05444	58.15483	204-87-0879	married	6.71979	no	5.51331	5.98181	3.72998	71.34915	22.92061	8.69758	4.65399	7.68515
1968	33.50145	Susan Riggs	0.00000	6.84248	-4.13156	213-38-1635	married	5.83763	no	5.50759	4.69479	7.27109	58.27302	75.01072	9.51815	5.99311	7.30907
1969	49.73934	Rodney Collins MD	0.00000	6.40585	56.58114	097-37-8705	single	6.93312	no	6.69202	5.89777	3.70892	42.79967	10.68098	14.28467	8.60376	7.27819
1970	48.23428	Joseph Foster	1.00000	5.02876	47.87410	761-65-2970	divoced	6.74022	no	4.57252	5.96155	6.69325	63.94764	85.37624	6.33138	7.78492	8.82937
1971	44.76042	Daniel Moore	1.00000	6.54371	24.70222	778-56-9280	married	7.90474	no	5.62156	5.83733	6.08821	40.33478	87.54786	8.36414	6.42614	6.84309
1972	48.78961	Jessica Davis	0.00000	7.72626	72.08542	221-76-7826	divoced	6.48067	Y	4.29541	7.79585	6.77041	39.86834	79.75286	10.72565	5.81205	8.11206
1973	69.20300	Charles Simmons	1.00000	6.96281	106.47250	180-94-5990	single	5.73693	no	5.53418	7.63119	5.37365	49.74144	82.96376	8.81821	6.37962	6.74459
1974	55.51517	Joseph Ochoa	0.00000	11.01264	116.25159	045-19-3305	divoced	6.39862	no	7.38014	6.52355	5.51782	65.26835	76.43577	13.80164	4.05492	5.87330
1975	67.43043	Nicholas Arnold	0.00000	8.63176	46.05415	781-96-4381	separated	6.09020	no	5.96335	5.97312	6.05922	62.50621	82.12707	8.82770	9.40680	8.47987
1976	35.96964	Frank Mccarthy	1.00000	9.83840	53.75538	869-37-7908	separated	5.63517	Y	7.41971	6.44142	5.84241	42.51710	80.00536	16.12924	8.33929	7.85444
1977	46.25630	Zachary Johnston	0.00000	5.45535	39.38252	632-91-1684	married	5.05269	N	5.92959	5.74103	5.49399	48.56653	79.61648	8.62242	9.16468	7.93004
1978	87.30821	Reginald Flores	1.00000	5.62697	66.56794	392-95-3103	single	5.91013	yes	5.08185	7.44590	3.70357	59.99978	20.00153	9.14085	5.52205	6.62796
1979	54.73896	Howard Tyler	0.00000	10.66725	19.15871	484-12-8800	separated	6.01303	no	5.81000	5.95220	5.80044	41.56390	79.92069	8.66630	4.23751	6.56226
1980	50.80230	Jennifer Hill	1.00000	5.62691	60.59351	389-49-4551	married	5.33270	no	6.20130	5.88083	3.62138	31.01632	18.70562	12.35940	4.25778	5.54419
1981	53.51976	Steven Gallegos	0.00000	7.35715	149.42312	701-19-3003	married	8.06242	N	7.15813	6.73089	7.23151	20.76570	81.41211	12.57813	8.50541	7.37038
1982	75.27375	Becky Young	0.00000	9.26166	47.10071	203-41-5451	divoced	7.39574	N	4.65026	5.81264	5.18861	28.62922	68.51165	9.11880	5.51993	7.64929
1983	65.77593	Brent Lee	1.00000	9.14170	64.68362	364-22-4638	married	5.38644	no	5.19363	7.79085	5.57191	44.39502	86.67311	1.93560	5.81193	8.87544
1984	55.68983	Vickie Barker	1.00000	6.41030	91.88537	070-63-6283	married	5.56847	no	5.85460	6.03665	4.32473	40.81647	38.97876	6.96265	4.39461	6.24326
1985	65.18049	Cindy Chapman	0.00000	8.04623	148.11381	478-55-4242	married	5.55279	yes	5.25109	6.78289	6.26444	41.60336		9.32414	9.86661	7.67910
1986	74.31077	Edwin Pena	1.00000	7.38244	18.71835	381-58-7398	married	7.11258	yes	7.25845	7.18207	5.93907	44.21346	81.93919	15.16231		7.70862
1987	45.52322	Rebecca Huffman	0.00000	9.04549	109.60615	523-70-2064	widowed	5.71614	yes	6.52489	6.84858	6.04048	45.02080	87.90519	9.57228	6.02133	5.27290
1988	53.35239	Nicole Olsen	0.00000	7.14370	117.74399	032-27-7142	divoced	7.39818	Y	6.65794	7.12586	6.16269	26.88920	94.11698	11.73790	7.39064	7.83529
1989	60.31439	Joshua Boyle	1.00000	5.13441	134.84486	710-26-6235	divoced	6.28174	no	8.19325	6.19015	6.24689	42.64653	93.68472	25.93772	8.26705	8.84857
1990	62.36193	Carrie Spears	0.00000	8.52040	41.05754	028-30-8792	divoced	8.17899	no	7.41428	5.42255	8.20518	53.05211	25.12158	14.62214	7.77823	8.35153
1991	54.75842	Angelica Saunders	1.00000	6.60860	46.67907	074-27-6859	separated	7.41514	no	5.05702	5.65400	4.80363	38.57469	48.75931	7.67134	4.04018	7.04291
1992	52.48664	Valerie Beltran	1.00000	4.61119	69.52960	111-53-3182	widowed	5.54594	Y	5.74305	6.93280	5.78347	43.17643	93.92090	6.57541	8.67332	7.65879
1993	57.53881	Lynn Woods	1.00000	4.88572	98.69692	546-58-2798	divoced	6.39597	no	6.73283	5.81832	5.27218	39.81609	69.24894	10.41359	8.38024	7.24255
1994	29.74386	Megan Barker	1.00000	5.09550	47.39766	471-98-2218	married	6.70100	yes	6.04476	6.43582	5.25981	75.53219	71.84244		7.91407	8.73141
1995	47.52876	Justin Nichols	1.00000	4.45702	84.93209	817-13-2795	nop	5.37006	no	4.98686	5.14573	5.09523	53.73702	67.85570	5.32434	10.40177	6.94389
1996	70.63907	Lindsey Santos	0.00000	7.68778	68.96032	835-98-3644	nop	6.15109	no	6.08363	6.88536	3.33193	73.98179	12.83701	7.53655	7.48651	6.90831
1997	62.07664	Tanya Brown	0.00000	7.58246	7.49889	202-33-9629	divoced	6.10575	yes	5.72303	4.36964	4.62100	49.76849	51.23111	11.06057	7.29228	7.40707
1998	48.82307	Christopher Berger	1.00000	7.88130	152.21361	312-88-3032	separated	7.06662	no	6.98684	6.92291	5.00480	53.98137	67.34692	13.92328	5.88288	7.21979
1999	31.67035	Victor Woods	1.00000	5.75889	77.77869	771-57-7440	married	5.85174	no	5.50162	5.64839	1.89557	46.41525	36.66945	5.15676	7.70799	4.74922
2000	33.09721	Michael Sparks	1.00000	6.00038	44.88176	778-92-7278	single	5.51797	yes	6.15615	6.42877	6.34778	45.62995	95.53486	5.89609	4.16828	7.87690
2001	52.51315	Anna Lindsey	0.00000	6.21195	54.65570	007-15-3360	nop	6.44062	no	6.56954	5.52477	7.49545	65.69146	64.89804	7.80752	8.02151	5.81236
2002	21.48691	Michael Brown	1.00000	5.09568	18.48469	716-86-5129	married	7.26649	N	5.56587	7.22958	5.66498	42.56276	79.05351	9.23775	4.31144	7.85834
2003	41.49355	Gary Bell	1.00000	7.40156	70.60850	565-84-3647	married	5.83519	no		4.38558	4.50436	33.47711	47.10668	10.29284	3.30348	7.78068
2004	65.30771	Joann Gould	1.00000	9.09158	70.92889	886-42-8223	divoced	6.06331	no	6.96263	6.83028	4.83183	47.60944	49.21463	12.53330	4.34648	9.24080
2005	35.76577	Kevin Lawrence	1.00000	5.23834	72.21640	383-74-9068	married	6.35430	no	7.04268	5.39969	6.57465	47.82026	88.16887	15.44017	6.57222	8.48529
2006	67.91139	Alvin Peters	1.00000	6.01080	86.06281	567-73-6744	nop	5.46016	no	7.03628	6.72299	3.16167	46.63516	14.98008	10.98581	3.29970	5.75263
2007	19.36565	Michael Richards	1.00000	8.80426	62.78619	639-07-5822	nop	7.25147	yes	5.86808	8.39077	5.03564	71.19937	66.10733	6.74459	6.30409	7.41567
2008	78.77337	Jason Walton	1.00000	6.77517	23.43889	582-21-3730	widowed	5.62816	no	5.62552	5.23268	4.43930	54.57716	36.77483	10.18638	3.40184	7.42674
2009	43.94859	Gina Hensley	1.00000	5.34804	72.14292	445-82-3631	single	7.56907	Y	5.60960	7.25456	5.09670	43.99527	56.86985	10.04420	2.40298	7.29875
2010	45.27318	Donna Rasmussen	1.00000	4.81246	77.59591	137-42-3889	divoced	8.16013	no	6.70107	3.93579	5.58346	62.65301	78.96939	15.22268	6.05552	7.52398
2011	31.13147	Benjamin Wood	1.00000	5.92226	50.90537	365-56-6106	married	6.09268	no	6.18055	6.46783	6.79804	64.53066	81.93608	10.72047	7.56585	6.44310
2012	55.88738	Katelyn Richard	1.00000	6.05978	109.93364	877-51-3281	married	6.39680	yes	7.41945	5.02142	6.22111	74.58314	96.83724	21.29712	4.97328	7.72303
2013	30.69862	Mrs. Michele Liu DDS	0.00000	7.30334	56.94284	236-40-8958	widowed	5.37446	no	5.95031	7.91283	6.67623	46.21940	90.37712	11.05812	6.97437	7.90750
2014	41.13597	Charles Haley	1.00000	5.95781	89.89561	350-45-0187	widowed	5.93332	no	6.79175	6.72299	5.74418	44.00990	92.10045	7.89493	4.96801	7.29000
2015	47.31889	Dustin Brown	1.00000	4.57538	21.79437	279-15-3641	divoced	4.80212	Y	5.75203	6.67709	6.18220	33.74024	94.04348	4.53947	7.63741	8.70648
2016	49.45653	Julie Lopez	0.00000	9.20482	51.93313	686-78-1033	nop	5.73466	Y	5.28507	5.52749	3.04454	31.84245	9.36105	7.61770	6.00875	6.88805
2017	44.63326	Lindsey Barker	0.00000	7.89918	32.67128	620-95-4705	single	5.85253	no	5.99425	6.56714	6.45388	78.63791	89.08728	4.88891	8.21833	8.06708
2018	37.56459	Lynn Taylor	1.00000	5.38971	101.92704	437-90-9010	married	5.34835	no	4.62629	8.02847	2.67930	55.60145	15.79014	7.88984	6.41109	6.11538
2019	41.97572	Daniel Wallace	0.00000	6.94976	88.94779	148-17-7201	married	7.78171	no	6.05987	5.71513	2.86113	44.42045	15.63828	9.95626	8.04838	8.13735
2020	46.28444	Johnathan Allen	1.00000	6.65192	127.23117	844-28-3176	divoced	5.45148	no	6.88220	7.06547	7.17764	72.32695	73.18602	16.52676	7.26718	7.48885
2021	29.52530	Damon Davis	1.00000	9.23194	26.76755	349-97-8097	single	7.17289	no	5.33029	6.93076	5.83301	54.88847	83.39577	13.94917	4.25456	9.84546
2022	46.12975	Chris Davis	1.00000	6.00487	96.83920	766-31-0919	widowed	7.37465	no	5.09755	4.61971	6.16350	46.37981	83.09596	9.72451	5.29827	6.96496
2023	46.17478	Melinda Miller	0.00000	7.73216	65.93002	590-92-5831	divoced	6.22900	no	5.88305	5.69109	5.71442	72.28743	83.71611	6.94864	7.61704	8.23988
2024	53.17470	Debra Bowman	0.00000	4.26354	118.20380	847-14-0564	married	6.41909	yes	6.35998	5.96080	5.15959	25.27222	68.75879	10.37505	10.40221	7.88731
2025	40.27788	Larry Hall	1.00000	4.38954	15.06447	473-04-4566	divoced	6.63833	Y	5.30393	6.66688	7.44533	21.06277	73.93646	4.91862	8.04365	9.58386
2026	54.91981	David Jones	1.00000	4.89946	49.44358	575-94-1188	separated	7.79057	no	7.57271	7.24109	6.11144	65.00023	87.23906	16.42934	8.00569	6.69943
2027	45.76946	Nathan Hamilton	1.00000	5.46188	51.49581	486-37-9957	divoced	9.61478	no	5.70197	5.82527	5.84593	23.88609	92.86675	7.09271	5.54359	9.87183
2028	34.22236	Christopher Cook	1.00000	4.72855	52.92821	186-21-5927	divoced	7.70814	yes	5.11465	6.20610	4.27117	55.79225	30.70231	6.17748	6.77883	6.75221
2029	41.29272	Jonathon Combs	0.00000	4.88040	53.10011	674-46-7574	separated	7.93127	Y	6.77452	7.11425	6.00718	47.49826	88.82896	7.39945	6.19307	5.82002
2030	42.62891	Steve Munoz	0.00000	8.79911	3.45991	364-83-9580	separated	8.23692	Y	5.02181	5.79101	10.08447	39.23572	20.59239	11.06682	7.27164	8.09857
2031	51.68691	Carl Williams	1.00000	4.79220	44.28301	886-88-7899	single	5.84535	no	6.39533	6.47818	3.21487	65.01950	10.86737	10.80387	7.63568	6.49525
2032	57.50361	Thomas Martinez	1.00000	4.94863	114.17898	680-24-1526	single	6.99324	yes	5.75501	6.77051	4.04697	63.70717	24.45852	8.61490	8.67750	5.96522
2033	34.00129	Robin Garcia	1.00000	9.03654	29.75104	128-36-9045	single	6.18909	N	5.45382	6.72481	2.71177	66.27936	17.35186	10.06978	1.89712	8.55243
2034	54.47462	Nicholas Mitchell	0.00000	8.40552	31.04215	767-18-4143	separated	6.93345	yes	5.80515	5.66269	5.08749	65.99313	69.20268	8.69225	6.86160	4.88635
2035	78.38458	Christopher Hernandez	1.00000	7.80634	34.99285	890-41-2770	married	4.67763	N	4.73820	5.49555	4.18977	32.29644	36.05806	5.33251	4.31404	7.35265
2036	48.60754	Kim Donaldson	1.00000	8.10727	87.43729	726-25-8871	separated	6.25993	no	7.45188	5.31847	3.12354	40.13385	8.20156	17.43836	3.47326	7.49959
2037	55.51831	Patricia Thomas	1.00000	4.60183	7.12193	587-56-9978	single	6.31545	no	5.49971	5.66676	5.56988	64.25935	87.38425	8.73394	6.07114	6.54021
2038	59.12057	Melissa Austin	1.00000	5.06341	134.56459	657-50-4215	married	5.54281	Y	5.90027	5.75626	4.43074	51.27040	34.31012	8.26488	8.56059	7.91394
2039	36.08908	Amber Wiggins	0.00000	7.54427	81.00413	854-65-2235	single	6.21291	no	6.63330	6.29942	8.51143	45.71223	33.20275	4.90399	8.49502	6.97472
2040	53.89592	Micheal Smith	0.00000	8.16655	14.51462	789-88-1493	single	6.45056	no	4.78063	5.74362	4.32013	43.22895	39.79273	6.95329	6.91993	6.59717
